Risks,Returns
0.154391725,0.034780863
0.154391724,0.034780863
0.154391722,0.034780863
0.154391721,0.034780862
0.154391719,0.034780862
0.154391717,0.034780862
0.154391714,0.034780861
0.154391699,0.034780858
0.154391681,0.034780854
0.154391658,0.03478085
0.154391629,0.034780844
0.154391591,0.034780836
0.154391538,0.034780826
0.154391462,0.034780811
0.154391338,0.034780788
0.154391107,0.034780745
0.154391762,0.034780873
0.154391749,0.034780871
0.154391708,0.034780864
0.154391339,0.034780805
0.153708764,0.034676038
0.144157563,0.033171618
0.13608185,0.031828972
0.129304893,0.030631682
0.122943918,0.029427904
0.116279778,0.028091913
0.108880092,0.026518332
0.101864587,0.024958518
0.095925352,0.023567882
0.090930592,0.022328258
0.086654795,0.021196379
0.083084347,0.020183008
0.08013339,0.019279396
0.077709498,0.018474037
0.075728856,0.017756258
0.074117863,0.017116535
0.072812804,0.016546379
0.07175912,0.016038155
0.07081711,0.015532874
0.069255597,0.014607501
0.067655818,0.013575323
0.066357313,0.012655194
0.065307577,0.011835213
0.064461529,0.01110438
0.063781462,0.010453016
0.063236068,0.009872486
0.06279947,0.009355087
0.062450493,0.008893956
0.062171895,0.008482971
0.061949704,0.008116681
0.061772641,0.007790224
0.06163163,0.007499255
0.061519386,0.007239918
0.061430062,0.007008717
0.061359069,0.006802854
0.061301647,0.006615941
0.061219365,0.006314586
0.061145945,0.006014857
0.061087578,0.005747794
0.061041177,0.005509789
0.06100441,0.005298379
0.060975181,0.005109994
0.060960757,0.005006947
0.060953044,0.004944265
0.060946764,0.004887262
0.060941829,0.004836892
0.060937915,0.004792058
0.060934808,0.00475211
0.060932339,0.004716512
0.060930379,0.00468479
0.060928822,0.00465652
0.060927586,0.004631327
0.060926603,0.004608877
0.060925823,0.004588875
0.060925204,0.004571054
0.060924712,0.004555178
0.060924321,0.004541034
0.060924011,0.004528447
0.060923765,0.004517257
0.06092357,0.004507293
0.060923415,0.004498417
0.060923291,0.004490508
0.060923193,0.004483474
0.060923116,0.004477227
0.060923054,0.004471677
0.060923005,0.004466777
0.060922967,0.004462477
0.060922937,0.004458698
0.060922913,0.004455396
0.060922883,0.004450801
0.060922868,0.004447982
0.060922855,0.004445475
0.060922846,0.004443248
0.060922838,0.00444128
0.060922832,0.004439592
0.060922828,0.004438267
0.060922826,0.004437542
0.060922819,0.004435166
0.060922817,0.004434184
0.060922817,0.004433902
