Risks,Returns
0.204019957,0.036527247
0.201070344,0.036464063
0.198695067,0.036407727
0.196787475,0.036357508
0.195258781,0.036312745
0.194035854,0.036272849
0.193058906,0.03623729
0.192279341,0.036205598
0.191657845,0.036177352
0.191162707,0.036152174
0.190768479,0.036129733
0.190454743,0.036109732
0.190205152,0.036091904
0.190006636,0.036076011
0.189848744,0.036061839
0.189723029,0.036049178
0.189621939,0.036037719
0.189544555,0.036027983
0.187301592,0.035695714
0.174636915,0.033770285
0.16385846,0.032050946
0.154346899,0.0304468
0.142123864,0.028296805
0.131596333,0.026378631
0.12259158,0.024669101
0.114937096,0.02314545
0.108472596,0.021787474
0.103048634,0.02057706
0.098528695,0.019498585
0.094172298,0.01837642
0.088719742,0.01689022
0.084130913,0.015563976
0.080299305,0.014381991
0.077121152,0.013328877
0.074499688,0.012390181
0.072482184,0.01160555
0.070912189,0.010936133
0.069638923,0.01033915
0.068611067,0.009807243
0.067783554,0.0093332
0.06711898,0.008910715
0.066586368,0.008534177
0.066160246,0.008198589
0.0658198,0.007899497
0.065548117,0.007632933
0.065331508,0.007395361
0.06515894,0.00718363
0.06502155,0.006994944
0.064912233,0.006826818
0.064825335,0.006677108
0.064755981,0.006543202
0.06470103,0.006424265
0.064658133,0.006320291
0.064633577,0.006253591
0.064614674,0.006195904
0.064599739,0.006144717
0.064587792,0.006098876
0.06457832,0.00605808
0.0645708,0.006021736
0.064564829,0.00598935
0.064560088,0.005960495
0.064556319,0.005934769
0.064553325,0.005911842
0.064550947,0.005891409
0.064549084,0.005873263
0.064547572,0.005857003
0.064546374,0.005842523
0.064545425,0.005829625
0.064544672,0.005818131
0.064544073,0.005807888
0.064543598,0.005798759
0.06454322,0.005790624
0.064542921,0.005783373
0.064542683,0.005776911
0.064542494,0.005771152
0.064542343,0.00576602
0.064542248,0.005761507
0.064542149,0.005757418
0.064542071,0.005753776
0.06454201,0.005750533
0.064541962,0.005747645
0.064541925,0.005745072
0.064541896,0.005742778
0.064541873,0.005740733
0.064541855,0.005738911
0.064541842,0.005737286
0.064541831,0.005735837
0.064541823,0.005734545
0.064541816,0.005733393
0.064541811,0.005732366
0.064541806,0.005731451
0.064541801,0.005730635
0.064541796,0.005729908
0.064541792,0.00572926
0.064541787,0.005728682
0.064541783,0.005728168
0.064541779,0.00572771
0.064541775,0.005727301
0.064541772,0.005726937
0.064541769,0.005726612
